name,nation,position,team,age,year_born,full_games,touches,touches_defensive_pen_area,touches_defensive_third,touches_mid_third,touches_attacking_third,touches_attacking_pen_area,live_ball_touches,take_on_attempts,successful_take_on,take_on_percentage,tackled_during_take_on,ball_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_recieved,progressive_passes_recieved,season,competition
Cristian Romero,ARG,DF,Tottenham,26,1998,15.7,1377,157,594,720,74,23,1377,4,1,25.0,2,896,4702,2893,12,18,0,10,5,936,3,2024-2025,Premier-League
Georginio Rutter,FRA,"MF,FW",Brighton,22,2002,18.4,641,20,83,246,326,79,641,71,27,38.0,34,361,2467,1405,42,36,16,45,37,411,79,2024-2025,Premier-League
José Sá,POR,GK,Wolves,31,1993,29.0,985,785,976,10,0,0,985,8,8,100.0,0,630,3790,2483,0,0,0,1,0,485,0,2024-2025,Premier-League
Bukayo Saka,ENG,"FW,MF",Arsenal,22,2001,19.2,979,6,57,216,715,162,978,90,41,45.6,37,628,4253,2460,96,32,51,34,40,711,255,2024-2025,Premier-League
Mohamed Salah,EGY,FW,Liverpool,32,1992,37.5,1695,11,97,500,1119,356,1686,137,58,42.3,72,1149,6973,3695,154,59,126,116,67,1407,488,2024-2025,Premier-League
William Saliba,FRA,DF,Arsenal,23,2001,33.8,2824,190,1127,1571,142,18,2824,19,12,63.2,6,1756,7626,4154,16,17,1,19,8,2137,6,2024-2025,Premier-League
Robert Sánchez,ESP,GK,Chelsea,26,1997,32.0,1323,980,1311,12,0,0,1323,0,0,,0,881,4456,2852,0,0,0,0,0,822,0,2024-2025,Premier-League
Jadon Sancho,ENG,FW,Chelsea,24,2000,19.6,975,13,117,283,585,121,975,97,45,46.4,40,653,4450,2435,102,35,57,30,21,760,225,2024-2025,Premier-League
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26,1997,6.6,407,26,110,247,52,7,407,1,0,0.0,1,171,759,283,1,2,0,5,4,236,4,2024-2025,Premier-League
Pablo Sarabia,ESP,"MF,FW",Wolves,32,1992,9.0,552,4,58,271,226,24,552,15,6,40.0,7,325,1497,731,15,15,0,22,14,387,62,2024-2025,Premier-League
Jeremy Sarmiento,ECU,MF,Brighton,22,2002,0.1,8,0,0,6,2,0,8,0,0,,0,6,61,10,0,0,0,1,0,7,2,2024-2025,Premier-League
Ismaila Sarr,SEN,MF,Crystal Palace,26,1998,30.1,1091,48,180,411,511,135,1091,61,17,27.9,35,607,3721,2108,75,47,28,70,43,739,183,2024-2025,Premier-League
Sávio,BRA,"FW,MF",Manchester City,20,2004,19.6,1095,14,55,286,774,154,1095,113,52,46.0,40,783,6489,3559,137,45,75,42,38,852,246,2024-2025,Premier-League
Oliver Scarles,ENG,"DF,FW",West Ham,18,2005,7.4,466,32,159,179,133,9,466,7,2,28.6,5,219,871,483,12,9,2,12,3,272,44,2024-2025,Premier-League
Dane Scarlett,ENG,"FW,MF",Tottenham,20,2004,0.4,9,1,3,5,1,1,9,0,0,,0,5,66,33,1,0,0,0,1,4,1,2024-2025,Premier-League
